pl_name,pl_orbper,disc_method,disc_year,pl_orbeccen,pl_eqt,Confirmed,st_mass,st_teff,st_rad,st_lum,st_age,pl_radius_rearth
Kepler-235 e,46.183669,tran,2014,0.0,306.0,0,0.581,4255.0,0.554,-1.10237,6.0,2.21958
Kepler-334 d,25.09849,tran,2014,0.0,656.0,0,1.022,5828.0,1.068,0.05556,2.75,1.41246
Kepler-279 c,35.736,tran,2013,0.0,774.0,0,1.1,6689.45,1.07,0.5188,0.22,4.30464
Kepler-251 d,30.133001,tran,2014,0.0,536.0,0,0.891,5526.0,0.89,-0.17197,2.0,2.76887
Kepler-729 b,3.166353714,tran,2016,0.0,1273.0,0,0.94,5633.0,0.91,0.26135,4.27,3.5803194141000003
Kepler-687 b,20.50586978,tran,2016,0.0,518.0,0,0.77,4841.0,0.73,-0.56669,5.5,3.5203140777
Kepler-119 b,2.422082,tran,2014,0.0,1213.0,0,0.918,5595.0,0.839,-0.0366,3.63,3.5984100000000003
Kepler-1115 b,23.5540725,tran,2016,0.0,1381.0,0,1.6,8480.0,1.73,1.25385,1.12,1.7001516464000002
Kepler-1073 b,8.67888593,tran,2016,0.0,905.0,0,1.0,5792.0,1.0,-0.01023,3.72,2.3002052346
HD 16175 b,990.0,rv,2009,0.6,815.5,0,1.63,5981.0,1.72,0.50786,3.3,12.7794
Kepler-405 b,10.613839,tran,2014,0.0,785.0,0,0.873,5818.0,0.893,-0.33143,2.09,2.0850600000000004
Kepler-899 b,19.17891293,tran,2016,0.0,640.0,0,0.93,5595.0,0.91,0.04831,4.07,2.6802391439
Kepler-1255 b,36.2919336,tran,2016,0.0,694.0,0,1.08,6018.0,1.12,0.30726,3.55,2.3202070134
K2-55 b,2.849258,tran,2016,0.07,912.0,0,0.696,4456.0,0.63,-0.78432,3.98,3.8203407597
Kepler-1447 b,56.6747285,tran,2016,0.0,522.0,0,0.97,5722.0,0.95,-0.04217,4.17,2.9002587107
K2-108 b,4.733999,tran,2017,0.18,1360.0,0,1.17,5599.0,1.76,0.40539,7.8,5.3304755075
TOI-220 b,10.695264,tran,2021,0.032,805.0,0,0.825,5298.0,0.858,-0.26668,10.1,3.0302755416
HD 23472 d,3.97664,tran,2022,0.07,909.0,0,0.67,4684.0,0.71,-0.62525,3.98,0.7500681623000001
HD 215497 c,566.0,rv,2009,0.47,815.5,0,0.92,5113.0,0.85,-0.41,5.8,13.0036
TOI-5726.01,5.491125215,tran,2024,0.0,1093.03,0,1.06,5874.0,1.106,0.11832,3.98,2.5542322421000003
GJ 338 B b,24.422,rv,2020,0.109,391.0,0,0.64,4014.0,0.58,-1.10127,4.0,3.2509
TOI-2285 b,13.635109,tran,2021,0.3,358.0,0,0.454,3491.0,0.464,-1.54212,3.98,1.7701610110000001
